City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Talnakh,RU,69.4865,88.3972,63.21,70,6,5.1,clear sky
212,Quesnel,CA,52.9999,-122.5029,94.57,21,44,1.36,scattered clouds
213,Libreville,GA,0.3925,9.4537,74.53,86,66,5.82,broken clouds
214,Bahia Blanca,AR,-38.7196,-62.2724,51.49,58,0,6.46,clear sky
215,Saint George,US,37.1041,-113.5841,99.19,25,40,26.46,scattered clouds
216,Husavik,IS,66.0449,-17.3389,42.76,91,100,10.96,overcast clouds
217,Sao Benedito Do Rio Preto,BR,-3.3336,-43.5283,76.44,83,69,4.72,broken clouds
218,Igarka,RU,67.4667,86.5833,65.08,78,100,9.37,overcast clouds
219,Te Anau,NZ,-45.4167,167.7167,41.5,84,97,2.86,moderate rain
220,Fairbanks,US,64.8378,-147.7164,73.6,36,0,6.91,clear sky
221,Brae,GB,60.3964,-1.353,56.82,87,39,23.85,scattered clouds
222,Cape Town,ZA,-33.9258,18.4232,52.12,88,100,1.99,light rain
223,Port Blair,IN,11.6667,92.75,81.5,81,58,4.81,broken clouds
224,Kruisfontein,ZA,-34.0033,24.7314,54.09,77,97,12.37,light rain
225,Guadalajara,MX,20.6667,-103.3333,71.37,100,100,4.61,overcast clouds
226,Marsh Harbour,BS,26.5412,-77.0636,83.37,69,40,15.08,scattered clouds
227,Garowe,SO,8.4054,48.4845,73.74,73,88,25.43,overcast clouds
228,San Cristobal,VE,7.7669,-72.225,66.94,95,36,3.51,scattered clouds
229,Dudinka,RU,69.4058,86.1778,63.63,69,15,7.14,few clouds
230,Viljoenskroon,ZA,-27.2084,26.9485,52.45,49,23,8.19,few clouds
231,Xining,CN,36.6167,101.7667,61.7,58,0,2.53,clear sky
232,Belmonte,BR,-15.8631,-38.8828,72.41,79,13,11.01,few clouds
233,Azua,DO,18.4532,-70.7349,79.68,79,15,5.64,few clouds
234,Dongsheng,CN,39.8161,109.9776,70.57,55,72,23.76,broken clouds
235,Torbay,CA,47.6666,-52.7314,61.29,88,90,3.0,overcast clouds
