City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
596,Kuching,MY,77.22,scattered clouds,1.55,110.3333,Hilton Kuching
600,Soc Trang,VN,80.42,broken clouds,9.6033,105.98,Phu Quy Hotel
602,Alugan,PH,80.53,light rain,12.2188,125.4808,JM Lodge
607,Taybad,IR,81.32,overcast clouds,34.74,60.7756,لی پوش jean center
613,Champerico,GT,84.74,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
614,Thoen,TH,77.83,overcast clouds,17.6129,99.2161,บ้านห้องนอน
620,Codajas,BR,82.63,broken clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
621,Bonthe,SL,75.2,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
625,Petapa,GT,76.35,scattered clouds,14.5028,-90.5517,La Visión del Espíritu Santo
630,Ciudad Ojeda,VE,82.58,scattered clouds,10.1964,-71.3082,Hotel América
631,Aquin,HT,81.23,few clouds,18.2833,-73.4,Asheev Beach
632,North Myrtle Beach,US,89.71,clear sky,33.816,-78.68,Avista Resort
638,Port Moresby,PG,81.7,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
639,Zhuhai,CN,87.85,few clouds,22.2769,113.5678,珠海粤财假日酒店
640,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
647,Bud,US,78.78,broken clouds,39.447,-86.1758,Ted McQuinn Trust
652,Lamar,US,84.63,clear sky,33.6668,-95.5836,Kings Inn Paris TX
658,Hanting,CN,80.38,overcast clouds,36.7708,119.2108,Weifang Xinhongda Guesthouse
660,Lewiston,US,75.85,few clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
666,Hirara,JP,84.76,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
668,Palmer,US,82.0,broken clouds,42.1584,-72.3287,Wedgewood Motel
669,Amahai,ID,78.15,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
